,country,continent_name,monthly_internet_cost_2018,internet_percent_of_population,population_2018,population_2024,gni_2018,gni_2024,annual_internet_cost_2018,annual_cost_percent_GNI_2018,annual_internet_cost_2024,annual_cost_percent_GNI_2024,sat_annual_cost_per_gni_2018,sat_annual_cost_per_gni_2024
36,Bahrain,Asia,145.89,0.986434,1490000.0,1500000.0,22900.0,20800.0,1750.6799999999998,0.07644890829694323,2358.4971172617365,0.11338928448373733,0.0314410480349345,0.03980769230769231
37,Bangladesh,Asia,27.35,0.15,164000000.0,175000000.0,1820.0,2630.0,328.20000000000005,0.18032967032967034,442.1474820557167,0.16811691332916984,0.3956043956043956,0.314828897338403
38,Bhutan,Asia,10.42,0.481064,762000.0,792000.0,3090.0,3220.0,125.03999999999999,0.040466019417475727,168.4525324687593,0.052314451077254444,0.23300970873786409,0.2571428571428571
39,Brunei,Asia,157.02,0.946,434000.0,456000.0,30600.0,34000.0,1884.2400000000002,0.0615764705882353,2538.427701367043,0.07465963827550126,0.023529411764705882,0.024352941176470588
40,Cambodia,Asia,32.63,0.4,16000000.0,17100000.0,1440.0,1800.0,391.56000000000006,0.2719166666666667,527.5053871838404,0.2930585484354669,0.5,0.46
41,China,Asia,31.41,0.543,1420000000.0,1430000000.0,9930.0,13300.0,376.92,0.037957703927492446,507.7825378928725,0.03817913818743402,0.07250755287009064,0.06225563909774436
42,"Hong Kong, China",Asia,47.35,0.894159,7480000.0,7500000.0,52100.0,54400.0,568.2,0.01090595009596929,765.4728802683065,0.01407119265199093,0.01381957773512476,0.015220588235294118
43,India,Asia,12.9,0.3445,1370000000.0,1440000000.0,2090.0,2540.0,154.8,0.07406698564593302,208.5448818471205,0.08210428419177973,0.3444976076555024,0.32598425196850395
44,Indonesia,Asia,30.02,0.397875,267000000.0,280000000.0,4000.0,4590.0,360.24,0.09006,485.3114227170974,0.1057323361039428,0.18,0.1803921568627451
45,Iraq,Asia,41.49,0.4936,40600000.0,46500000.0,5250.0,4940.0,497.88,0.09483428571428572,670.7385385920178,0.13577703210364733,0.13714285714285715,0.16761133603238867
46,Israel,Asia,19.9,0.815812,8460000.0,9310000.0,43000.0,46600.0,238.79999999999998,0.005553488372093023,321.70877122152694,0.006903621700032767,0.01674418604651163,0.01776824034334764
47,Japan,Asia,40.33,0.845881,126000000.0,123000000.0,42800.0,44300.0,483.96,0.011307476635514018,651.9856654956876,0.014717509379135161,0.016822429906542057,0.01869074492099323
48,Jordan,Asia,56.42,0.667903,10500000.0,11400000.0,4450.0,4660.0,677.04,0.1521438202247191,912.1009483577162,0.19572981724414512,0.16179775280898875,0.17768240343347638
