,country,continent_name,monthly_internet_cost_2018,internet_percent_of_population,population_2018,population_2024,gni_2018,gni_2024
119,United Kingdom,Europe,35.71,0.948967,66400000.00000001,68000000.0,44200.0,44800.0
120,Antigua and Barbuda,North America,82.14,0.76,91600.0,94800.0,16500.0,15900.0
121,Bahamas,North America,82.56,0.85,402000.0,415000.0,32400.0,29700.0
122,Barbados,North America,59.46,0.817608,280000.0,282000.0,17400.0,17100.0
123,Belize,North America,62.54,0.470826,382000.0,417000.0,4810.0,4360.0
124,Canada,North America,34.86,0.91,37000000.0,39100000.0,46800.0,47700.0
126,Costa Rica,North America,43.22,0.740868,5040000.0,5250000.0,12500.0,12500.0
128,Dominica,North America,51.43,0.696197,70800.0,73400.0,8020.0,8200.0
129,Dominican Republic,North America,26.52,0.748243,10800000.0,11400000.0,8100.0,8540.0
130,El Salvador,North America,41.96,0.338207,6280000.0,6400000.0,3980.0,4000.0
132,Grenada,North America,42.55,0.590717,122000.0,127000.0,9960.0,10400.0
133,Guatemala,North America,38.13,0.65,16900000.0,18400000.0,4580.0,4820.0
134,Haiti,North America,124.5,0.324736,11000000.0,11900000.0,1470.0,1310.0
135,Honduras,North America,60.0,0.317,9790000.0,10800000.0,2410.0,2350.0
136,Jamaica,North America,47.57,0.550721,2810000.0,2820000.0,5220.0,5360.0
137,Mexico,North America,33.15,0.657726,124000000.0,129000000.0,9560.0,9230.0
138,Nicaragua,North America,56.5,0.27863,6570000.0,7140000.0,2050.0,1900.0
139,Panama,North America,47.45,0.578651,4170000.0,4530000.0,15100.0,15300.0
141,Trinidad and Tobago,North America,56.73,0.773261,1500000.0,1540000.0,16700.0,16600.0
142,United States,North America,50.0,0.872661,332000000.0,342000000.0,66100.0,71500.0
143,Australia,Oceania,48.35,0.86545,25000000.0,26700000.0,55300.0,58400.0
144,Fiji,Oceania,55.42,0.499664,919000.0,943000.0,6150.0,6110.0
146,Marshall Islands,Oceania,86.2,0.387012,46000.0,42400.0,5040.0,5100.0
148,New Zealand,Oceania,54.0,0.908111,4840000.0,5270000.0,43400.0,44800.0
149,Papua New Guinea,Oceania,51.06,0.112092,9330000.0,10500000.0,2710.0,2840.0
150,Vanuatu,Oceania,95.25,0.257198,297000.0,342000.0,3300.0,3320.0
151,Argentina,South America,13.69,0.742949,44400000.0,46100000.0,12900.0,9810.0
152,Bolivia,South America,41.53,0.438323,11600000.0,12600000.0,3510.0,3550.0
153,Brazil,South America,28.24,0.674713,210000000.0,218000000.0,9550.0,8490.0
154,Chile,South America,33.99,0.823275,18700000.0,19700000.0,15200.0,15000.0
155,Colombia,South America,25.05,0.622599,49300000.0,52300000.0,6520.0,6560.0
156,Ecuador,South America,43.87,0.572722,17000000.0,18400000.0,6340.0,5630.0
157,Guyana,South America,54.66,0.373258,786000.0,820000.0,6550.0,8370.0
158,Paraguay,South America,24.46,0.649935,6440000.0,6950000.0,5830.0,5710.0
159,Peru,South America,26.17,0.525403,32200000.000000004,34700000.0,6740.0,7160.0
160,Suriname,South America,39.82,0.489452,594000.0,629000.0,6220.0,4670.0
161,Uruguay,South America,40.1,0.682797,3430000.0,3420000.0,18000.0,17400.0
